CRASH_ID,SER_NO,CRASH_DT,CRASH_MO_NO,CRASH_DAY_NO,CRASH_YR_NO,CRASH_WK_DAY_CD,CRASH_HR_NO,CRASH_HR_SHORT_DESC,CNTY_ID,CNTY_NM,CITY_SECT_ID,CITY_SECT_NM,URB_AREA_CD,URB_AREA_SHORT_NM,FC_CD,FC_SHORT_DESC,NHS_FLG,HWY_NO,HWY_SFX_NO,HWY_MED_NM,RDWY_NO,HWY_COMPNT_CD,HWY_COMPNT_SHORT_DESC,MLGE_TYP_CD,MLGE_TYP_SHORT_DESC,RD_CON_NO,LRS_VAL,LAT_DEG_NO,LAT_MINUTE_NO,LAT_SEC_NO,LONGTD_DEG_NO,LONGTD_MINUTE_NO,LONGTD_SEC_NO,LAT_DD,LONGTD_DD,SPECL_JRSDCT_ID,SPECL_JRSDCT_SHORT_DESC,JRSDCT_GRP_CD,JRSDCT_GRP_LONG_DESC,AGY_ST_NO,ST_FULL_NM,RECRE_RD_NM,ISECT_AGY_ST_NO,ISECT_ST_FULL_NM,ISECT_RECRE_RD_NM,ISECT_SEQ_NO,FROM_ISECT_DSTNC_QTY,CMPSS_DIR_CD,MP_NO,POST_SPEED_LMT_VAL,RD_CHAR_CD,RD_CHAR_SHORT_DESC,OFF_RDWY_FLG,ISECT_TYP_CD,ISECT_TYP_SHORT_DESC,ISECT_REL_FLG,RNDABT_FLG,DRVWY_REL_FLG,LN_QTY,TURNG_LEG_QTY,MEDN_TYP_CD,MEDN_TYP_SHORT_DESC,IMPCT_LOC_CD,CRASH_TYP_CD,CRASH_TYP_SHORT_DESC,COLLIS_TYP_CD,COLLIS_TYP_SHORT_DESC,CRASH_SVRTY_CD,CRASH_SVRTY_SHORT_DESC,WTHR_COND_CD,WTHR_COND_SHORT_DESC,RD_SURF_COND_CD,RD_SURF_SHORT_DESC,LGT_COND_CD,LGT_COND_SHORT_DESC,TRAF_CNTL_DEVICE_CD,TRAF_CNTL_DEVICE_SHORT_DESC,TRAF_CNTL_FUNC_FLG,INVSTG_AGY_CD,INVSTG_AGY_SHORT_DESC,CRASH_EVNT_1_CD,CRASH_EVNT_1_SHORT_DESC,CRASH_EVNT_2_CD,CRASH_EVNT_2_SHORT_DESC,CRASH_EVNT_3_CD,CRASH_EVNT_3_SHORT_DESC,CRASH_CAUSE_1_CD,CRASH_CAUSE_1_SHORT_DESC,CRASH_CAUSE_2_CD,CRASH_CAUSE_2_SHORT_DESC,CRASH_CAUSE_3_CD,CRASH_CAUSE_3_SHORT_DESC,SCHL_ZONE_IND,WRK_ZONE_IND,ALCHL_INVLV_FLG,DRUG_INVLV_FLG,MJ_INVLV_FLG,CRASH_SPEED_INVLV_FLG,CRASH_HIT_RUN_FLG,POP_RNG_CD,POP_RNG_MED_DESC,RD_CNTL_CD,RD_CNTL_MED_DESC,RTE_TYP_CD,RTE_ID,RTE_NM,REG_ID,DIST_ID,SEG_MRK_ID,SEG_PT_LRS_MEAS,UNLOCT_FLG,CRASH_LAST_UD_DT,TOT_VHCL_CNT,TOT_FATAL_CNT,TOT_INJ_LVL_A_CNT,TOT_INJ_LVL_B_CNT,TOT_INJ_LVL_C_CNT,TOT_INJ_CNT,TOT_UNINJD_AGE00_04_CNT,TOT_UNINJD_PER_CNT,TOT_PED_CNT,TOT_PED_FATAL_CNT,TOT_PED_INJ_LVL_A_CNT,TOT_PED_INJ_CNT,TOT_PEDCYCL_CNT,TOT_PEDCYCL_FATAL_CNT,TOT_PEDCYCL_INJ_LVL_A_CNT,TOT_PEDCYCL_INJ_CNT,TOT_UNKNWN_CNT,TOT_UNKNWN_FATAL_CNT,TOT_UNKNWN_INJ_CNT,TOT_OCCUP_CNT,TOT_PER_INVLV_CNT,TOT_SFTY_EQUIP_USED_QTY,TOT_SFTY_EQUIP_UNUSED_QTY,TOT_SFTY_EQUIP_USE_UNKNWN_QTY,TOT_PSNGR_VHCL_OCC_UNRESTRND_FATAL_CNT,TOT_MCYCLST_FATAL_CNT,TOT_MCYCLST_INJ_LVL_A_CNT,TOT_MCYCLST_INJ_CNT,TOT_MCYCLST_UNHELMTD_FATAL_CNT,TOT_ALCHL_IMPAIRED_DRVR_INV_FATAL_CNT,TOT_DRVR_AGE_01_20_CNT,LANE_RDWY_DPRT_CRASH_FLG
1758982,99998,02/01/18 00:00:00,02,01,2018,5,00,12A,26,Multnomah,245,Portland SE,57,PORTLAND UA,16,U MN-ART,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,31,8.96,-122,30,38.55,45.51915555555467,-122.510708333333,NA,NA,NA,NA,02259,SE STARK ST,NA,05148,SE 148TH AVE,NA,1,0,3,NA,NA,1,INTER,0,1,CROSS,0,0,0,NA,0,NA,NA,06,3,PED,0,PED,2,FAT,0,UNK,0,UNK,2,DLIT,001,TRF SIGNAL,1,3,CITY,NA,NA,NA,NA,NA,NA,04,DIS SIG,NA,NA,NA,NA,NA,NA,1,0,0,0,1,9,"Over 200,000",1,PORTLAND CITY STREET,NA,NA,NA,1,02B,58_115919,NA,0,10/30/19 17:21:04,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,N
1758988,01243,02/11/18 00:00:00,02,11,2018,1,23,11P,26,Multnomah,245,Portland SE,57,PORTLAND UA,16,U MN-ART,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,31,8.48,-122,32,16,45.519022222221665,-122.53777777777734,NA,NA,NA,NA,02259,SE STARK ST,NA,05122,SE 122ND AVE,NA,1,0,9,NA,NA,1,INTER,0,1,CROSS,0,0,0,NA,0,NA,NA,02,B,ANGL-OTH,1,ANGL,2,FAT,2,CLD,1,DRY,2,DLIT,001,TRF SIGNAL,1,3,CITY,040,CURB,091,BUILDING,NA,NA,04,DIS SIG,30,SPEED,NA,NA,0,0,1,0,0,1,0,9,"Over 200,000",1,PORTLAND CITY STREET,NA,NA,NA,1,02B,58_115806,NA,0,10/30/19 17:21:04,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,1,0,0,0,0,0,0,N
1761945,12380,03/09/18 00:00:00,03,09,2018,6,07,7A,26,Multnomah,245,Portland SE,57,PORTLAND UA,17,U MJ-COL,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,30,59.19,-122,38,5.22,45.516441666666,-122.63478333333333,NA,NA,NA,NA,00226,SE BELMONT ST,NA,05030,SE 30TH AVE,NA,1,0,3,NA,25,1,INTER,0,1,CROSS,0,0,0,NA,0,NA,NA,05,3,PED,0,PED,2,FAT,1,CLR,2,WET,1,DAY,001,TRF SIGNAL,1,5,NO RPT,NA,NA,NA,NA,NA,NA,02,NO-YIELD,NA,NA,NA,NA,0,0,0,1,1,0,0,9,"Over 200,000",1,PORTLAND CITY STREET,NA,NA,NA,1,02B,58_116088,NA,0,10/30/19 17:21:04,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,3,1,0,1,0,0,0,0,0,0,0,N
1761990,03167,04/09/18 00:00:00,04,09,2018,2,01,1A,26,Multnomah,245,Portland SE,57,PORTLAND UA,16,U MN-ART,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,28,38.36,-122,30,38.78,45.477322222221666,-122.510772222222,NA,NA,NA,NA,00824,SE FOSTER RD,NA,00310,SE BARBARA WELCH RD,NA,1,550,3,NA,45,7,GRADE,1,NA,NA,0,0,0,2,NA,0,NONE,08,8,FIX OBJ,9,FIX,2,FAT,0,UNK,0,UNK,3,DARK,099,UNKNOWN,1,3,CITY,043,GARDRAIL,079,DITCH,010,SUB OTRN,30,SPEED,NA,NA,NA,NA,NA,NA,1,0,0,1,0,9,"Over 200,000",1,PORTLAND CITY STREET,NA,NA,NA,1,02C,58_128507,NA,0,10/30/19 17:21:04,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,1,0,0,0,0,0,1,Y
1766951,09625,10/10/18 00:00:00,10,10,2018,4,99,UNK,26,Multnomah,245,Portland SE,57,PORTLAND UA,14,U PR-ART,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,30,14.73,-122,31,15.44,45.504091666666,-122.52095555555466,NA,NA,NA,NA,00614,SE DIVISION ST,NA,05139,SE 139TH AVE,NA,1,0,7,NA,NA,1,INTER,0,3,3-LEG,0,0,0,NA,0,NA,NA,05,3,PED,0,PED,2,FAT,2,CLD,1,DRY,2,DLIT,004,STOP SIGN,1,3,CITY,NA,NA,NA,NA,NA,NA,02,NO-YIELD,NA,NA,NA,NA,0,0,0,0,0,0,1,9,"Over 200,000",1,PORTLAND CITY STREET,NA,NA,NA,1,02B,58_120319,NA,0,10/30/19 17:21:05,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,N
1774720,06083,05/24/18 00:00:00,05,24,2018,5,07,7A,26,Multnomah,245,Portland SE,57,PORTLAND UA,19,U LOCAL,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,28,33.96,-122,29,11.91,45.47609999999967,-122.48664166666633,NA,NA,NA,NA,01215,SE JOHNSTON DR,NA,00153,SE EQUESTRIAN DR,NA,1,164,7,NA,NA,3,STRGHT,1,NA,NA,0,0,0,2,NA,0,NONE,08,8,FIX OBJ,9,FIX,5,PDO,0,UNK,0,UNK,1,DAY,099,UNKNOWN,1,0,NONE,030,PET,062,TREE,NA,NA,10,OTHR-IMP,NA,NA,NA,NA,NA,NA,0,0,0,0,0,9,"Over 200,000",1,PORTLAND CITY STREET,NA,NA,NA,1,02C,58_181969,NA,0,10/30/19 17:21:04,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,0,Y
1775168,00820,02/06/18 00:00:00,02,06,2018,3,02,2A,26,Multnomah,245,Portland SE,57,PORTLAND UA,14,U PR-ART,1,026,NA,MT. HOOD,1,0,MN,0,R,NA,002600100S00,45,29,55.49,-122,31,6.2,45.49874722222133,-122.51838888888867,NA,NA,NA,NA,01940,SE POWELL BLVD,NA,05141,SE 141ST AVE,NA,1,NA,9,8.15999985,35,1,INTER,0,3,3-LEG,0,0,0,NA,0,NA,NA,03,H,O-1 L-TURN,6,TURN,2,FAT,2,CLD,1,DRY,2,DLIT,004,STOP SIGN,1,3,CITY,001,FEL/JUMP,NA,NA,NA,NA,01,TOO-FAST,NA,NA,NA,NA,0,0,1,1,0,1,0,9,"Over 200,000",2,PORTLAND HWY SYSTEM,US,26,US 26,1,02B,293_16247,NA,0,10/30/19 17:21:04,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,1,0,0,0,0,0,N
1775356,01009,02/09/18 00:00:00,02,09,2018,6,14,2P,26,Multnomah,245,Portland SE,57,PORTLAND UA,17,U MJ-COL,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,30,59.32,-122,38,58.53,45.516477777777,-122.64959166666634,NA,NA,NA,NA,00226,SE BELMONT ST,NA,05016,SE 16TH AVE,NA,1,0,7,NA,NA,1,INTER,0,1,CROSS,0,0,0,NA,0,NA,NA,06,E,S-1STOP,3,REAR,4,INJ,1,CLR,1,DRY,1,DAY,099,UNKNOWN,1,0,NONE,004,INDRCT PED,NA,NA,NA,NA,29,F AVOID,NA,NA,NA,NA,NA,NA,0,0,0,0,0,9,"Over 200,000",1,PORTLAND CITY STREET,NA,NA,NA,1,02B,58_116007,NA,0,10/30/19 17:21:04,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,N
1775385,01044,02/10/18 00:00:00,02,10,2018,7,15,3P,26,Multnomah,245,Portland SE,57,PORTLAND UA,17,U MJ-COL,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,30,59.19,-122,38,5.22,45.516441666666,-122.63478333333333,NA,NA,NA,NA,00226,SE BELMONT ST,NA,05030,SE 30TH AVE,NA,1,0,9,NA,NA,1,INTER,0,1,CROSS,0,0,0,NA,0,NA,NA,03,B,ANGL-OTH,1,ANGL,4,INJ,1,CLR,1,DRY,1,DAY,001,TRF SIGNAL,1,0,NONE,NA,NA,NA,NA,NA,NA,04,DIS SIG,NA,NA,NA,NA,NA,NA,0,0,0,0,0,9,"Over 200,000",1,PORTLAND CITY STREET,NA,NA,NA,1,02B,58_116083,NA,0,10/30/19 17:21:04,2,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,1,0,0,0,0,0,0,0,N
1775396,01051,02/09/18 00:00:00,02,09,2018,6,15,3P,26,Multnomah,245,Portland SE,57,PORTLAND UA,17,U MJ-COL,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,28,58.24,-122,32,56.44,45.482844444443664,-122.54901111111033,NA,NA,NA,NA,01019,SE HAROLD ST,NA,05111,SE 111TH AVE,NA,1,0,9,NA,NA,1,INTER,0,4,4-LEG,0,0,0,NA,0,NA,NA,04,B,ANGL-OTH,1,ANGL,4,INJ,1,CLR,1,DRY,1,DAY,004,STOP SIGN,1,3,CITY,NA,NA,NA,NA,NA,NA,02,NO-YIELD,NA,NA,NA,NA,0,0,0,0,0,0,1,9,"Over 200,000",1,PORTLAND CITY STREET,NA,NA,NA,1,02C,58_190054,NA,0,10/30/19 17:21:04,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,N
