reservoir_name,distlabel,district,basin,date,storage_bcm,month,day,year,year_completed,river,location,type,height_m,length_m,volume_content_103m3,gross_storage_capacity_103m3,reservoir_area_103m2,effective_storage_capacity_103m3,purpose,designed_spillway_capacity_m3_s,x,gross_storage_capacity_109m3,effective_storage_capacity_109m3,lat,long,drought
Upper TapiHatnur Reservoir,Jalgaon - High drought risk,Jalgaon,TAPI,2015-01-01,0.26,1,1,2015,1982,Tapi,"Jalgaon, Bhusawal",Earthfill,25.5,2580,3850,388000.00,48160,255000.00,Irrigation,26415,NA,0.388,0.255,21.0727972,75.9456968,High drought risk
Upper TapiHatnur Reservoir,Jalgaon - High drought risk,Jalgaon,TAPI,2015-02-01,0.23,2,1,2015,1982,Tapi,"Jalgaon, Bhusawal",Earthfill,25.5,2580,3850,388000.00,48160,255000.00,Irrigation,26415,NA,0.388,0.255,21.0727972,75.9456968,High drought risk
Upper TapiHatnur Reservoir,Jalgaon - High drought risk,Jalgaon,TAPI,2015-03-01,0.23,3,1,2015,1982,Tapi,"Jalgaon, Bhusawal",Earthfill,25.5,2580,3850,388000.00,48160,255000.00,Irrigation,26415,NA,0.388,0.255,21.0727972,75.9456968,High drought risk
Upper TapiHatnur Reservoir,Jalgaon - High drought risk,Jalgaon,TAPI,2015-04-01,0.21,4,1,2015,1982,Tapi,"Jalgaon, Bhusawal",Earthfill,25.5,2580,3850,388000.00,48160,255000.00,Irrigation,26415,NA,0.388,0.255,21.0727972,75.9456968,High drought risk
Upper TapiHatnur Reservoir,Jalgaon - High drought risk,Jalgaon,TAPI,2015-05-01,0.15,5,1,2015,1982,Tapi,"Jalgaon, Bhusawal",Earthfill,25.5,2580,3850,388000.00,48160,255000.00,Irrigation,26415,NA,0.388,0.255,21.0727972,75.9456968,High drought risk
Upper TapiHatnur Reservoir,Jalgaon - High drought risk,Jalgaon,TAPI,2015-06-01,0.05,6,1,2015,1982,Tapi,"Jalgaon, Bhusawal",Earthfill,25.5,2580,3850,388000.00,48160,255000.00,Irrigation,26415,NA,0.388,0.255,21.0727972,75.9456968,High drought risk
Upper TapiHatnur Reservoir,Jalgaon - High drought risk,Jalgaon,TAPI,2015-07-01,0.12,7,1,2015,1982,Tapi,"Jalgaon, Bhusawal",Earthfill,25.5,2580,3850,388000.00,48160,255000.00,Irrigation,26415,NA,0.388,0.255,21.0727972,75.9456968,High drought risk
Upper TapiHatnur Reservoir,Jalgaon - High drought risk,Jalgaon,TAPI,2015-08-01,0.16,8,1,2015,1982,Tapi,"Jalgaon, Bhusawal",Earthfill,25.5,2580,3850,388000.00,48160,255000.00,Irrigation,26415,NA,0.388,0.255,21.0727972,75.9456968,High drought risk
Upper TapiHatnur Reservoir,Jalgaon - High drought risk,Jalgaon,TAPI,2015-09-01,0.25,9,1,2015,1982,Tapi,"Jalgaon, Bhusawal",Earthfill,25.5,2580,3850,388000.00,48160,255000.00,Irrigation,26415,NA,0.388,0.255,21.0727972,75.9456968,High drought risk
Upper TapiHatnur Reservoir,Jalgaon - High drought risk,Jalgaon,TAPI,2015-10-01,0.26,10,1,2015,1982,Tapi,"Jalgaon, Bhusawal",Earthfill,25.5,2580,3850,388000.00,48160,255000.00,Irrigation,26415,NA,0.388,0.255,21.0727972,75.9456968,High drought risk
Upper TapiHatnur Reservoir,Jalgaon - High drought risk,Jalgaon,TAPI,2015-11-01,0.23,11,1,2015,1982,Tapi,"Jalgaon, Bhusawal",Earthfill,25.5,2580,3850,388000.00,48160,255000.00,Irrigation,26415,NA,0.388,0.255,21.0727972,75.9456968,High drought risk
Upper TapiHatnur Reservoir,Jalgaon - High drought risk,Jalgaon,TAPI,2015-12-01,0.19,12,1,2015,1982,Tapi,"Jalgaon, Bhusawal",Earthfill,25.5,2580,3850,388000.00,48160,255000.00,Irrigation,26415,NA,0.388,0.255,21.0727972,75.9456968,High drought risk
Isapur Reservoir,Aurangabad - Low drought risk,Aurangabad,GODAVARI,2015-01-01,0.45,1,1,2015,1982,Penganga,Nanded,Earthfill,57,4120.1,11216,1254000.00,NA,951000.00,Irrigation,10480,NA,1.254,0.951,19.727953,77.43668,Low drought risk
Isapur Reservoir,Aurangabad - Low drought risk,Aurangabad,GODAVARI,2015-02-01,0.35,2,1,2015,1982,Penganga,Nanded,Earthfill,57,4120.1,11216,1254000.00,NA,951000.00,Irrigation,10480,NA,1.254,0.951,19.727953,77.43668,Low drought risk
Isapur Reservoir,Aurangabad - Low drought risk,Aurangabad,GODAVARI,2015-03-01,0.29,3,1,2015,1982,Penganga,Nanded,Earthfill,57,4120.1,11216,1254000.00,NA,951000.00,Irrigation,10480,NA,1.254,0.951,19.727953,77.43668,Low drought risk
Isapur Reservoir,Aurangabad - Low drought risk,Aurangabad,GODAVARI,2015-04-01,0.23,4,1,2015,1982,Penganga,Nanded,Earthfill,57,4120.1,11216,1254000.00,NA,951000.00,Irrigation,10480,NA,1.254,0.951,19.727953,77.43668,Low drought risk
Isapur Reservoir,Aurangabad - Low drought risk,Aurangabad,GODAVARI,2015-05-01,0.14,5,1,2015,1982,Penganga,Nanded,Earthfill,57,4120.1,11216,1254000.00,NA,951000.00,Irrigation,10480,NA,1.254,0.951,19.727953,77.43668,Low drought risk
Isapur Reservoir,Aurangabad - Low drought risk,Aurangabad,GODAVARI,2015-06-01,0.21,6,1,2015,1982,Penganga,Nanded,Earthfill,57,4120.1,11216,1254000.00,NA,951000.00,Irrigation,10480,NA,1.254,0.951,19.727953,77.43668,Low drought risk
Isapur Reservoir,Aurangabad - Low drought risk,Aurangabad,GODAVARI,2015-07-01,0.17,7,1,2015,1982,Penganga,Nanded,Earthfill,57,4120.1,11216,1254000.00,NA,951000.00,Irrigation,10480,NA,1.254,0.951,19.727953,77.43668,Low drought risk
Isapur Reservoir,Aurangabad - Low drought risk,Aurangabad,GODAVARI,2015-08-01,0.25,8,1,2015,1982,Penganga,Nanded,Earthfill,57,4120.1,11216,1254000.00,NA,951000.00,Irrigation,10480,NA,1.254,0.951,19.727953,77.43668,Low drought risk
